X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-76.1537753994903,43.0249625981754,1897,2018/05/23,0630,1521,100 GLAHN AV,LARCENY,
-76.1192662702837,43.0414654700828,1898,2018/05/23,1200,1000,100 HARVARD PL,LARCENY,
-76.1499425433479,43.058679117872,1899,2018/05/22,0605,0645,800 N  TOWNSEND ST,LARCENY,
-76.1386410001839,43.037378999716,1900,2018/06/26,1900,2030,900 IRVING AV,LARCENY,
-76.1424820274831,43.0733243171274,1901,2018/05/23,2310,2314,100 HOOD AV,AGGRAVATED ASSAULT,
-76.1329867345107,43.0524511709956,1902,2018/05/23,1200,1635,100 OAK ST,LARCENY,
,,1903,2018/05/23,1947,1947,0 DESTINY USA DR,LARCENY,
-76.1663520001201,43.0349669999219,1904,2018/06/26,2100,1030,900 W  ONONDAGA ST,BURGLARY,
-76.142795780213,43.0007789968447,1905,2018/05/23,1243,1243,100 W  SENECA TPKE,LARCENY,
-76.1223580231406,43.0612533673724,1906,2018/05/23,1715,1715,1100 TEALL AV,AGGRAVATED ASSAULT,
-76.1535634854951,43.0534033182884,1907,2018/05/23,2000,0730,200 HERALD PL,LARCENY,
-76.1462744849891,43.065301583234,1908,2018/05/23,2107,2107,300 JOHN ST,AGGRAVATED ASSAULT,
-76.1407605004885,43.0141229998697,1909,2018/06/27,1030,1005,100 W  OSTRANDER AV,BURGLARY,
-76.1549355002425,43.0632630004234,1910,2018/06/26,1111,1111,900 S  SALINA ST,ROBBERY,
-76.1345235003226,43.0170660004459,1911,2018/06/27,2300,0700,300 IVY RIDGE RD,LARCENY,
-76.1648532069888,43.0451363890245,1912,2018/05/23,1520,1530,300 OSWEGO ST,LARCENY,
-76.1535100407567,43.0305648949137,1913,2018/05/23,1228,1228,300 FURMAN ST,MV THEFT,
-76.1182335003943,43.0709850001925,1914,2018/06/25,0000,0730,100 VILLAGE DR,MV THEFT,
