X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477231.08414438,5318644.53494196,2024/01/02 05:00:00+00,1424,1424,500 S SALINA ST     ,,,AGGRAVATED ASSAULT,43.043823,-76.152262499,108
-8477231.08414438,5318644.53494196,2024/01/26 05:00:00+00,1058,1058,500 S SALINA ST     ,Yes,Shoplifting,LARCENY,43.043823,-76.152262499,109
-8477231.08414438,5318644.53494196,2024/02/07 05:00:00+00,1220,1220,500 S SALINA ST   ,Yes,Shoplifting,BURGLARY,43.043823,-76.152262499,110
-8477231.08414438,5318644.53494196,2024/02/20 05:00:00+00,1444,1444,500 S SALINA ST     ,,All Other,LARCENY,43.043823,-76.152262499,111
-8478920.74703538,5318408.7482888,2024/01/02 05:00:00+00,1530,1530,500 SEYMOUR ST     ,Yes,,AGGRAVATED ASSAULT,43.0422750000001,-76.167440999,112
-8477983.49269397,5320140.27374536,2024/02/09 05:00:00+00,2237,2237,500 W GENESEE ST     ,,,BURGLARY,43.053642,-76.1590214999999,113
-8477983.49269397,5320140.27374536,2024/01/30 05:00:00+00,900,1500,500 W GENESEE ST   ,,Motor Vehicle,MV THEFT,43.053642,-76.1590214999999,114
-8475016.43864611,5319059.91776306,2024/01/09 05:00:00+00,2300,900,500 WALNUT AV ,,From Motor Vehicle,MV THEFT,43.04655,-76.132368,115
-8477226.07498993,5314088.87376795,2024/01/29 05:00:00+00,232,243,500 W OSTRANDER AV   ,,Motor Vehicle,MV THEFT,43.0139070000001,-76.1522175009999,116
-8475016.43864611,5319059.91776306,2024/01/18 05:00:00+00,145,855,500 WALNUT AV   ,,From Motor Vehicle,LARCENY,43.04655,-76.132368,117
-8475016.43864611,5319059.91776306,2024/01/20 05:00:00+00,1240,2258,500 WALNUT AVE    ,,From Building,LARCENY,43.04655,-76.132368,118
-8475452.25445256,5319900.33618167,2024/02/14 05:00:00+00,1752,1852,600 BURNET AV   ,,All Other,LARCENY,43.0520670000001,-76.1362829999999,119
-8479345.04138586,5315209.76614964,2024/01/17 05:00:00+00,2200,610,600 CHARMOUTH DR   ,,Motor Vehicle,MV THEFT,43.0212690000001,-76.1712525,120
-8476334.90658375,5320234.87939284,2024/01/08 05:00:00+00,1501,1501,600 JAMES ST   ,,All Other,LARCENY,43.054263,-76.1442119989999,121
-8476334.90658375,5320234.87939284,2024/02/19 05:00:00+00,2153,2153,600 JAMES ST     ,,From Coin Operated Machine/Device,LARCENY,43.054263,-76.1442119989999,122
