X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8479688.18115588,5319493.85335513,2023/03/22 04:00:00+00,1434,1434,100 LAKEVIEW AVE    ,CRIMINAL MISCHIEF,43.04939682667557,-76.17425076874625,117
-8477567.71439586,5312688.6322306,2023/06/30 04:00:00+00,1335,1335,100 SMITH LN     ,SIMPLE ASSAULT,43.00484015925489,-76.15535255347613,109
-8476673.14974333,5315616.18556417,2023/03/22 04:00:00+00,2051,2051,100 FAGE AVE    ,SIMPLE ASSAULT,43.023954681509466,-76.14718396571084,112
-8476281.80740928,5320496.76379018,2023/07/02 04:00:00+00,1614,1614,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8476281.80740928,5320496.76379018,2023/07/02 04:00:00+00,1735,1735,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8476281.80740928,5320496.76379018,2023/07/02 04:00:00+00,2100,849,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8476281.80740928,5320496.76379018,2023/07/02 04:00:00+00,1930,927,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8476281.80740928,5320496.76379018,2023/07/03 04:00:00+00,1757,1815,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8476281.80740928,5320496.76379018,2023/07/03 04:00:00+00,1245,1942,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8477266.650833,5321857.03540366,2023/07/04 04:00:00+00,2314,2314,700 N  ALVORD ST     ,POSSESSION/USE DANGEROUS WEAPONS,43.064806590032624,-76.15266495333898,115
-8476893.06763128,5320467.80410322,2023/03/23 04:00:00+00,1114,1126,300 PROSPECT AVE    ,OFFN AGAINST FAMILY,43.055815274636025,-76.14922387049324,120
-8477266.650833,5321857.03540366,2023/07/05 04:00:00+00,26,26,700 N  ALVORD ST     ,SIMPLE ASSAULT,43.064806590032624,-76.15266495333898,115
-8476201.57121462,5320346.27976116,2023/03/23 04:00:00+00,1133,1133,700 JAMES ST     ,CRIMINAL MISCHIEF,43.05503598616807,-76.14305352257017,294
-8473390.39484409,5322934.97193411,2023/07/06 04:00:00+00,10,10,200 VILLAGE DR     ,OFFN AGAINST FAMILY,43.07206032619793,-76.11791165102832,100
-8476388.50702988,5321375.70697708,2023/07/07 04:00:00+00,829,829,800 BUTTERNUT ST     ,ALL OTHER OFFENSES,43.06179889632048,-76.14481403396698,127
-8469837.74461491,5318558.17053548,2023/07/07 04:00:00+00,1005,1005,100 GIFFORD ST     ,CRIMINAL MISCHIEF,43.043327723958384,-76.085657892162,100
-8476388.50702988,5321375.70697708,2023/07/07 04:00:00+00,1542,1542,800 BUTTERNUT ST     ,SIMPLE ASSAULT,43.06179889632048,-76.14481403396698,127
-8477443.98289316,5319085.96548592,2023/07/08 04:00:00+00,335,335,500 S  CLINTON ST     ,SIMPLE ASSAULT,43.04683069505183,-76.15427865023193,192
-8473390.39484409,5322934.97193411,2023/07/09 04:00:00+00,2320,2320,200 VILLAGE DR     ,OFFN AGAINST FAMILY,43.07206032619793,-76.11791165102832,100
-8476388.50702988,5321375.70697708,2023/07/10 04:00:00+00,1958,1958,800 BUTTERNUT ST     ,ALL OTHER OFFENSES,43.06179889632048,-76.14481403396698,127
-8478137.92199341,5316115.15188595,2023/03/24 04:00:00+00,250,250,0 CENTENNIAL DR     ,CRIMINAL MISCHIEF,43.02719907072442,-76.16040982216674,150
